"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","483","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","1217","Проверить перенаправление кликом по лого Яндекса на страницу Яндекс Дзена","tests","2026-08-06","passed","2026-08-06","TestRedirection","test_redirection","",""
"","293","Проверить перенаправление кликом по лого Самоката на главную страницу","tests","2026-08-06","passed","2026-08-06","TestRedirection","test_redirection","",""
"","447","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","454","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","4206","Проверка отображения уведомления об успешном заказе после заполнения формы и оформления заказа через обе кнопки 'Заказать'","tests","2026-08-06","passed","2026-08-06","TestOrderButtons","test_order_buttons","",""
"","458","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","503","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","487","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","4264","Проверка отображения уведомления об успешном заказе после заполнения формы и оформления заказа через обе кнопки 'Заказать'","tests","2026-08-06","passed","2026-08-06","TestOrderButtons","test_order_buttons","",""
"","441","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
"","268","Проверка наличия двух кнопок для заказа на главной странице","tests","2026-08-06","passed","2026-08-06","TestOrderButtons","test_order_buttons","",""
"","517","Проверить отображение ответа на вопрос","tests","2026-08-06","passed","2026-08-06","TestUnfoldingList","test_unfolding_list","",""
